cell001,class01,1.263290,-7.562652
cell002,class01,0.894503,-7.837141
cell003,class01,1.120645,-7.603561
cell004,class01,1.003190,-7.711678
cell005,class01,1.234426,-8.240256
cell006,class01,0.966365,-8.123059
cell007,class01,1.399846,-8.038603
cell008,class01,1.020039,-8.147869
cell009,class01,0.868827,-7.960631
cell010,class01,1.378882,-7.767917
cell011,class01,1.127330,-7.546920
cell012,class01,1.551053,-7.706966
cell013,class01,1.520113,-7.936408
cell014,class01,1.000949,-7.724773
cell015,class01,1.549904,-7.713353
cell016,class01,1.507740,-7.708057
cell017,class01,1.213907,-8.213815
cell018,class01,1.162344,-8.137209
cell019,class01,1.648663,-8.069889
cell020,class01,1.498676,-8.202023
cell021,class02,0.774969,-4.381356
cell022,class02,0.956390,-4.258848
cell023,class02,0.615153,-3.754921
cell024,class02,0.548345,-4.579503
cell025,class02,0.585060,-4.507564
cell026,class02,0.856453,-4.140165
cell027,class02,0.241665,-4.350142
cell028,class02,1.021890,-3.957589
cell029,class02,0.250982,-3.828141
cell030,class02,0.332222,-4.391140
cell031,class02,0.603646,-4.619637
cell032,class02,1.056858,-4.276526
cell033,class02,0.823388,-4.381674
cell034,class02,0.964320,-4.380070
cell035,class02,0.412400,-4.326032
cell036,class02,0.441989,-3.786030
cell037,class02,0.327021,-4.270458
cell038,class02,1.039528,-4.254259
cell039,class02,0.911851,-4.030051
cell040,class02,0.810332,-3.713199
cell041,class03,0.034937,0.145888
cell042,class03,-0.057787,-0.205783
cell043,class03,-0.057022,-0.089332
cell044,class03,0.315937,-0.160211
cell045,class03,-0.029838,0.385268
cell046,class03,-0.078636,-0.504780
cell047,class03,-0.426085,-0.432964
cell048,class03,-0.296469,0.582868
cell049,class03,-0.481673,-0.024009
cell050,class03,-0.424300,0.338947
cell051,class03,0.115145,-0.132654
cell052,class03,0.040342,-0.430741
cell053,class03,0.266248,0.432549
cell054,class03,-0.062079,0.015227
cell055,class03,-0.383934,-0.000185
cell056,class03,0.167943,-0.678329
cell057,class03,0.023622,0.443813
cell058,class03,0.085588,0.225678
cell059,class03,0.442467,-0.118912
cell060,class03,-0.266031,0.548836
cell061,class04,-0.485784,4.450792
cell062,class04,-0.587787,3.777501
cell063,class04,-1.040170,4.815555
cell064,class04,-0.890363,4.412405
cell065,class04,-0.847859,4.134069
cell066,class04,-0.781865,3.830258
cell067,class04,-1.328053,4.314347
cell068,class04,-1.000695,4.414241
cell069,class04,-0.507528,4.545501
cell070,class04,-0.682725,4.111472
cell071,class04,-1.269028,3.862046
cell072,class04,-1.444425,4.468973
cell073,class04,-1.317224,4.466038
cell074,class04,-0.562264,3.754180
cell075,class04,-1.069289,4.002254
cell076,class04,-0.378782,4.590047
cell077,class04,-0.974625,4.441267
cell078,class04,-0.905431,4.707531
cell079,class04,-1.444167,4.613175
cell080,class05,-1.351359,4.173096
cell081,class05,-1.106794,7.487124
cell082,class05,-0.814236,7.347753
cell083,class05,-0.520528,7.394604
cell084,class05,-1.144154,8.288591
cell085,class05,-1.341507,8.204284
cell086,class05,-1.245208,8.148225
cell087,class05,-1.148723,8.048562
cell088,class05,-0.889052,7.625974
cell089,class05,-0.501281,7.795421
cell090,class05,-0.843077,8.083607
cell091,class05,-0.559455,8.057296
cell092,class05,-0.584845,8.075317
cell093,class05,-1.463939,7.752805
cell094,class05,-0.665236,7.170544
cell095,class05,-1.391215,7.651040
cell096,class05,-0.783493,7.956243
cell097,class05,-1.069048,7.451931
cell098,class05,-0.868893,7.603972
cell099,class05,-0.935604,8.167506
cell100,class05,-0.687824,7.603363
